state,start_cong,end_cong,start_cong_dates,end_cong_dates,district_num,area,perimeter,max_from_center
Massachusetts,1,1,1789,1790,6,2367.842737053903,1.1804338684201516,1.0703732878631524
Massachusetts,1,1,1789,1790,7,54.19121272589109,0.13029218764857103,0.17906784539114057
Massachusetts,1,1,1789,1790,8,113.66679176721664,0.05515397397704507,0.17317688189576919
New York,1,2,1789,1792,1,106.75587835937768,0.34458245504161433,0.6779549118572612
Virginia,1,2,1789,1792,1,949.6399182211608,0.22818464416804374,2.141760621385496
Virginia,1,2,1789,1792,10,149.5741628291289,0.1570018288455455,1.9857868813778623
Connecticut,1,2,1789,1792,0,363.07173936521576,0.15708780392912816,0.4261991696884528
Delaware,1,12,1789,1812,0,144.62095627783856,0.10397425746116513,1.451050309786648
Georgia,1,1,1789,1790,-1,7283.361315132017,0.53877133583019,0.8714338904022975
Georgia,1,1,1789,1790,1,420.6575275280484,0.40229873586617776,1.3698302522475851
Massachusetts,1,1,1789,1790,1,35.66516428812611,0.06896758552861759,0.060405914916624864
Massachusetts,1,1,1789,1790,2,37.72816641704412,0.07318139637200274,0.128456160314928
Massachusetts,1,1,1789,1790,3,62.08562218450243,0.053879897323268006,0.09931733706774144
Massachusetts,1,1,1789,1790,4,209.14454284049134,0.061611800943573686,0.33663216464108775
Massachusetts,1,1,1789,1790,5,79.25369149235485,0.15531165348207182,0.1350344985176446
Georgia,1,1,1789,1790,2,490.68178408709355,0.15355456539343182,1.3536716547502379
Georgia,1,1,1789,1790,3,327.57783172879135,0.11001334414305244,1.4435447069889602
New York,1,2,1789,1792,2,25.292912087024888,0.05521200750381551,0.7121179944680238
New York,1,2,1789,1792,3,90.54735071196046,0.04916216484590608,0.5978004885483441
New York,1,2,1789,1792,4,312.7568480236878,0.08472383318463117,0.7190082653334117
New York,1,2,1789,1792,5,515.508446461281,0.14549113115748868,0.5467519178802018
New York,1,2,1789,1792,6,2489.871658743192,0.39758369562332213,0.904521085559574
Maryland,1,2,1789,1792,1,76.53826073542587,0.15379681340990528,1.7450271426272492
Maryland,1,2,1789,1792,2,94.6809163242142,0.27885911009252184,1.4831157160970534
Maryland,1,2,1789,1792,3,88.16120888768637,0.12500013425401346,1.6440132140143355
Maryland,1,2,1789,1792,4,98.4957816057431,0.10532185242638481,1.5142105619219683
Maryland,1,2,1789,1792,5,153.26433993184764,0.3378133402817718,1.6124429595198608
Maryland,1,2,1789,1792,6,217.93109885101148,0.13549931039806726,1.7760184863841868
New Hampshire,1,2,1789,1792,0,675.6657516375271,0.17033886656062724,0.4271061680671764
New Jersey,1,2,1789,1792,0,552.0748102172656,0.4048066409919765,1.0569314847810412
Pennsylvania,1,1,1789,1790,0,3304.125772555635,0.27121620174308614,1.5381201908884155
Rhode Island,1,2,1789,1792,0,79.13052538616466,0.1124485525670849,0.2345134329768492
South Carolina,1,2,1789,1792,1,288.93045557082223,0.31299313364361686,1.8425462803203798
South Carolina,1,2,1789,1792,2,455.23788910785515,0.415828203445292,1.673487448367738
South Carolina,1,2,1789,1792,3,474.09117430112383,0.15534926377559843,2.097701204786729
South Carolina,1,2,1789,1792,4,426.6049787805823,0.11769829795663694,1.9213093085751176
South Carolina,1,2,1789,1792,5,610.2582879748225,0.11927648641817941,1.7123906682184409
Virginia,1,2,1789,1792,2,2950.628620109419,0.34138562197140454,2.3710146768951668
Virginia,1,2,1789,1792,3,1852.1490782418114,0.280444871997981,2.339823966182797
Virginia,1,2,1789,1792,4,177.54262415225094,0.10252977435811203,1.8052174147059061
Virginia,1,2,1789,1792,5,341.28968525836535,0.11961528176143148,2.0280055257982452
Virginia,1,2,1789,1792,6,480.7804732087243,0.13686435957126947,2.2097033275672917
Virginia,1,2,1789,1792,7,190.85756538639544,0.32842065248768426,1.8784974514073454
Virginia,1,2,1789,1792,8,218.46770765750261,0.5978872421148265,2.024543519489389
Virginia,1,2,1789,1792,9,330.97859649280144,0.12004468295003973,2.1205995636016945
North Carolina,1,1,1789,1790,-1,1822.4137292034138,0.3488616360946248,1.6471665102058655
North Carolina,1,1,1789,1790,1,670.8089895654994,0.15367507214907747,2.237831578063152
North Carolina,1,1,1789,1790,2,737.4095225951169,1.0085098954458216,2.3076104614428634
North Carolina,1,1,1789,1790,3,775.6281396630075,0.3374135045800074,2.284275073049067
North Carolina,1,1,1789,1790,4,1398.2628895800444,0.2304884961285279,2.0411426647795574
North Carolina,1,1,1789,1790,5,1279.3235359735409,0.2876596896928885,1.9328180922618137
Maryland,3,7,1793,1802,3,72.90012927688076,0.04989095994512888,1.6521975601407053
Maryland,3,7,1793,1802,4,143.51907140787807,0.11335404620162107,1.8403298415684788
Maryland,3,7,1793,1802,5,65.89218381159299,0.07856833417301046,1.54133787267451
Maryland,3,7,1793,1802,6,79.6573175990925,0.13428593503138636,1.4367411642943584
